fecha,hora,cliente,tipo,monto
2025-06-02,12:47,Juan,ingreso,22158.27
2025-06-02,12:51,Ana,transferencia,89824.0
2025-06-02,14:38,Juan,egreso,2748.69
2025-06-02,11:46,Ana,inversion,66557.07
2025-06-02,8:07,Juan,inversion,18415.38
2025-06-02,12:14,Ana,inversion,39486.25
2025-06-02,13:38,Laura,inversion,25487.48
2025-06-02,11:05,Cecilia,ingreso,95409.75
2025-06-02,18:42,Laura,transferencia,67362.21
2025-06-02,18:11,Laura,egreso,99213.44
2025-06-02,9:20,Ana,egreso,72683.56
2025-06-02,13:48,Pablo,egreso,48239.79
2025-06-02,15:28,Cecilia,egreso,36704.59
2025-06-02,15:27,Cecilia,inversion,18825.12
2025-06-02,12:11,Laura,transferencia,31502.63
2025-06-02,17:58,Cecilia,transferencia,54900.68
2025-06-02,16:13,Pablo,transferencia,3749.81
2025-06-02,14:30,Juan,egreso,98282.65
2025-06-02,16:39,Ana,inversion,13558.77
2025-06-02,11:48,Pablo,transferencia,72693.83
2025-06-02,17:27,Juan,egreso,58696.32
2025-06-02,13:25,Jose,transferencia,23702.7
2025-06-02,14:51,Laura,egreso,59708.02
2025-06-02,13:05,Cecilia,ingreso,49976.21
2025-06-02,10:00,Cecilia,inversion,52447.96
2025-06-02,8:33,Pablo,inversion,46029.98
2025-06-02,13:49,Cecilia,inversion,22442.17
2025-06-02,16:13,Laura,ingreso,67945.92
2025-06-02,15:17,Laura,transferencia,65777.29
2025-06-02,16:04,Laura,transferencia,31474.25
2025-06-02,11:35,Ana,egreso,40985.05
2025-06-02,13:00,Cecilia,ingreso,91496.25
2025-06-02,17:33,Cecilia,ingreso,62710.56
2025-06-02,14:18,Laura,egreso,44035.41
2025-06-02,14:19,Pablo,ingreso,50372.1
2025-06-02,8:28,Ana,inversion,80175.74
2025-06-02,12:35,Laura,ingreso,23357.12
2025-06-02,16:25,Ana,egreso,80951.85
2025-06-02,10:02,Juan,transferencia,40496.7
2025-06-02,8:45,Laura,inversion,4985.53
2025-06-02,15:18,Cecilia,ingreso,25696.81
2025-06-02,9:17,Juan,egreso,26147.69
2025-06-02,11:13,Ana,egreso,3022.11
2025-06-02,18:05,Pablo,ingreso,93387.12
2025-06-02,18:28,Laura,inversion,74132.4
2025-06-02,14:53,Juan,transferencia,16445.69
2025-06-02,15:50,Ana,ingreso,39686.8
2025-06-02,9:45,Laura,inversion,36005.18
2025-06-02,13:49,Laura,egreso,65646.1
2025-06-02,13:11,Ana,ingreso,66504.62
2025-06-02,10:04,Jose,transferencia,37308.03
2025-06-02,18:39,Cecilia,egreso,66590.32
2025-06-02,8:31,Juan,ingreso,82060.28
2025-06-02,11:04,Cecilia,ingreso,7027.59
2025-06-02,10:21,Ana,ingreso,34918.1
2025-06-02,17:47,Cecilia,inversion,4611.86
2025-06-02,18:34,Pablo,inversion,70327.33
2025-06-02,13:39,Laura,transferencia,25384.02
2025-06-02,13:40,Jose,egreso,92437.91
2025-06-02,18:44,Laura,egreso,99934.88
2025-06-02,14:15,Cecilia,inversion,85625.31
2025-06-02,15:13,Pablo,transferencia,95340.32
2025-06-02,16:47,Pablo,transferencia,30379.75
2025-06-02,10:21,Ana,transferencia,75631.74
2025-06-02,10:25,Pablo,inversion,36924.0
2025-06-02,16:30,Laura,ingreso,78951.0
2025-06-02,15:45,Cecilia,egreso,90561.64
2025-06-02,14:53,Cecilia,transferencia,18170.62
2025-06-02,10:24,Pablo,ingreso,52153.86
2025-06-02,17:28,Jose,transferencia,54093.52
2025-06-02,14:21,Pablo,egreso,85977.04
2025-06-02,13:09,Cecilia,transferencia,39275.59
2025-06-02,12:36,Juan,egreso,35985.44
2025-06-02,18:12,Juan,egreso,55328.98
2025-06-02,10:47,Cecilia,egreso,9685.74
2025-06-02,12:17,Juan,egreso,82757.29
2025-06-02,15:50,Jose,ingreso,9039.8
2025-06-02,15:52,Juan,inversion,77054.26
2025-06-02,9:00,Laura,inversion,55875.63
2025-06-02,14:08,Cecilia,ingreso,54976.42
2025-06-02,13:44,Ana,ingreso,44025.54
2025-06-02,12:36,Ana,egreso,50948.52
2025-06-02,17:53,Pablo,ingreso,96243.87
2025-06-02,16:25,Jose,ingreso,32910.18
2025-06-02,18:44,Ana,transferencia,64957.69
2025-06-02,10:35,Jose,ingreso,32715.57
2025-06-02,14:12,Juan,transferencia,80110.16
2025-06-02,17:41,Cecilia,inversion,6509.6
2025-06-02,17:26,Laura,ingreso,75301.39
2025-06-02,18:58,Ana,inversion,96374.51
2025-06-02,14:24,Ana,inversion,65695.97
2025-06-02,8:56,Cecilia,inversion,30032.24
2025-06-02,14:15,Laura,transferencia,69239.47
2025-06-02,13:30,Jose,ingreso,78814.99
2025-06-02,10:06,Pablo,inversion,77846.72
2025-06-02,11:45,Juan,transferencia,40857.94
2025-06-02,17:53,Juan,inversion,40322.55
2025-06-02,9:37,Laura,ingreso,59469.41
2025-06-02,15:12,Ana,ingreso,49937.65
2025-06-02,17:54,Pablo,ingreso,92287.34
