fecha,hora,cliente,tipo,monto
2025-06-06,14:48,Cecilia,ingreso,70618.07
2025-06-06,13:11,Ana,egreso,40324.23
2025-06-06,18:42,Pablo,egreso,34362.73
2025-06-06,16:57,Cecilia,ingreso,6954.5
2025-06-06,10:14,Cecilia,ingreso,58691.82
2025-06-06,13:47,Juan,egreso,34236.54
2025-06-06,17:29,Cecilia,egreso,1850.09
2025-06-06,13:47,Jose,egreso,54677.53
2025-06-06,14:46,Juan,ingreso,89593.08
2025-06-06,17:35,Cecilia,egreso,47938.12
2025-06-06,14:18,Ana,transferencia,11477.62
2025-06-06,17:10,Jose,egreso,70472.28
2025-06-06,17:47,Pablo,ingreso,53804.03
2025-06-06,12:08,Laura,transferencia,27890.45
2025-06-06,16:11,Pablo,egreso,55754.35
2025-06-06,10:46,Ana,egreso,47186.49
2025-06-06,17:49,Ana,inversion,25106.74
2025-06-06,12:49,Jose,inversion,22545.36
2025-06-06,14:57,Laura,inversion,48150.85
2025-06-06,16:58,Laura,ingreso,34487.51
2025-06-06,15:54,Ana,transferencia,21607.2
2025-06-06,10:45,Ana,inversion,40153.18
2025-06-06,12:34,Juan,transferencia,42594.46
2025-06-06,13:28,Pablo,inversion,3163.72
2025-06-06,10:00,Jose,inversion,60783.78
2025-06-06,18:59,Laura,transferencia,24577.96
2025-06-06,18:26,Laura,ingreso,79925.79
2025-06-06,13:58,Cecilia,ingreso,72808.3
2025-06-06,18:48,Ana,inversion,96014.89
2025-06-06,12:05,Juan,ingreso,12132.7
2025-06-06,18:38,Jose,transferencia,93839.51
2025-06-06,16:19,Laura,egreso,41517.75
2025-06-06,14:27,Pablo,inversion,76550.98
2025-06-06,18:05,Juan,egreso,6656.42
2025-06-06,17:08,Juan,transferencia,22305.91
2025-06-06,16:36,Juan,egreso,46046.41
2025-06-06,11:08,Laura,ingreso,34565.57
2025-06-06,18:39,Juan,transferencia,12044.03
2025-06-06,12:55,Ana,ingreso,12068.44
2025-06-06,12:39,Cecilia,egreso,81837.19
2025-06-06,10:25,Jose,inversion,56177.13
2025-06-06,13:28,Laura,egreso,1456.55
2025-06-06,13:24,Juan,egreso,18783.75
2025-06-06,17:42,Laura,inversion,6676.24
2025-06-06,18:41,Juan,transferencia,80691.94
2025-06-06,16:31,Laura,inversion,99748.73
2025-06-06,12:24,Ana,inversion,7045.89
2025-06-06,9:19,Cecilia,egreso,96581.03
2025-06-06,10:01,Cecilia,inversion,72752.51
2025-06-06,13:28,Jose,transferencia,36349.64
2025-06-06,13:19,Pablo,ingreso,57823.41
2025-06-06,10:05,Jose,ingreso,18269.54
2025-06-06,18:57,Juan,ingreso,22584.33
2025-06-06,8:23,Juan,inversion,71155.6
2025-06-06,12:45,Pablo,egreso,21767.73
2025-06-06,13:29,Jose,egreso,8317.11
2025-06-06,16:24,Cecilia,inversion,59829.1
2025-06-06,10:17,Laura,transferencia,30950.66
2025-06-06,9:53,Juan,inversion,72681.0
2025-06-06,8:18,Juan,inversion,72832.98
2025-06-06,11:24,Juan,egreso,23489.72
2025-06-06,10:24,Cecilia,inversion,40745.45
2025-06-06,12:33,Pablo,inversion,62116.35
2025-06-06,11:30,Laura,egreso,48318.87
2025-06-06,16:23,Jose,transferencia,61744.34
2025-06-06,12:17,Jose,inversion,8731.36
2025-06-06,8:37,Pablo,transferencia,47966.02
2025-06-06,17:19,Laura,inversion,3731.63
2025-06-06,13:35,Pablo,inversion,88903.23
2025-06-06,11:04,Jose,inversion,59778.93
2025-06-06,14:18,Jose,inversion,50076.01
2025-06-06,9:47,Laura,ingreso,93793.86
2025-06-06,10:23,Pablo,inversion,3477.34
2025-06-06,13:38,Pablo,transferencia,71926.4
2025-06-06,15:22,Laura,transferencia,81128.31
2025-06-06,11:48,Pablo,transferencia,25043.37
2025-06-06,10:51,Juan,egreso,70087.07
2025-06-06,18:17,Cecilia,inversion,50034.11
2025-06-06,16:55,Laura,inversion,62566.4
2025-06-06,18:31,Ana,inversion,4829.11
2025-06-06,8:40,Laura,transferencia,54977.19
2025-06-06,16:17,Laura,transferencia,46321.82
2025-06-06,13:58,Pablo,ingreso,42364.42
2025-06-06,16:11,Ana,egreso,45654.38
2025-06-06,10:46,Jose,transferencia,98980.18
2025-06-06,12:46,Juan,ingreso,74456.09
2025-06-06,14:04,Jose,inversion,6732.33
2025-06-06,10:41,Laura,transferencia,62017.99
2025-06-06,15:32,Jose,ingreso,58133.41
2025-06-06,12:46,Pablo,inversion,54294.48
2025-06-06,12:53,Laura,ingreso,89077.12
2025-06-06,10:10,Juan,transferencia,77320.69
2025-06-06,17:45,Juan,transferencia,28821.31
2025-06-06,9:16,Laura,ingreso,39623.56
2025-06-06,10:41,Pablo,transferencia,97205.87
2025-06-06,17:59,Laura,inversion,37406.09
2025-06-06,12:41,Laura,ingreso,54018.71
2025-06-06,8:17,Pablo,inversion,92672.91
2025-06-06,9:19,Laura,transferencia,92663.88
2025-06-06,9:45,Juan,ingreso,75075.01
